City,Source_File,Line_Number,Matched_Text,Lat,Long
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,711,"contaminants to ground or surface water, provided potable water supplies, or stored, transported or",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,712,"disposed of waste, must have a C-of-A before it could operate lawfully. The MECP no longer issues Cs-",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,741,"“Inventory of Coal Gasification Plant Waste Sites in Ontario”, dated April 1987; and",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,754,4.2.1.8 Waste Management Records,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,755,Waste Generators,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,756,ERIS completed a search of the O. Reg. 347 Waste Generators database for information regarding waste,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,757,"generation. O. Reg. 347 defines a waste generation site as any site, equipment and/or operation involved",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,758,"in the production, collection, handling and/or storage of regulated wastes. A generator of regulated waste",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,759,"is required to register the waste generation site and each waste produced, collected, handled or stored at",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,761,generators including the types of hazardous wastes generated. It includes data on waste generating,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,762,"facilities such as drycleaners, waste treatment and disposal facilities, machine shops, electric power",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,763,"distribution, etc. The database search results provide a summary of available waste generation",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,765,O. Reg. 153/04 indicates that information from the Waste Generator database only needs to be obtained,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,767,"the Phase One Property and adjacent off-Site properties, Pinchin reviewed the database for waste",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,779,inferred groundwater flow direction. The area reviewed will be referred to as the Waste Generator,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,781,The ERIS search of the O. Reg. 347 Waste Generators database found no information regarding the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,782,Waste Generator Database Review Area.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,783,Waste Receivers,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,784,ERIS completed a search of the O. Reg. 347 Waste Receivers database for information regarding waste,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,785,receivers. O. Reg. 347 defines a waste receiving site as any site or facility to which waste is transferred,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,786,by a waste carrier. A receiver of regulated waste is required to register the waste receiving facility. This,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,787,"database contains registered receivers of regulated wastes, identified by registration number, company",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,788,"name and address, and includes receivers of waste such as landfills, incinerators, transfer stations, PCB",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,790,O. Reg. 153/04 indicates that information from the Waste Receivers database only needs to be obtained,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,792,"the Phase One Property and adjacent off-Site properties, Pinchin reviewed the database for waste",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,794,inferred groundwater flow direction. The area reviewed will be referred to as the Waste Receivers,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,796,The ERIS search of the O. Reg. 347 Waste Receivers database found no information regarding the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,797,Waste Receivers Database Review Area.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,798,4.2.1.9 Fuel Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,800,"chemical storage tanks, as well as private and retail fuel storage tanks. Details regarding the searched",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,802,The ERIS search of the chemical and fuel storage tank databases found no information regarding the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,835,and waste disposal sites within the Phase One Study Area. Details regarding the searched databases are,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,837,The ERIS search of the landfill and waste disposal sites databases found no information regarding the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,843,"prosecutions, registered PCB waste storage sites, waste generators, waste receivers, Cs-of-A and ECAs",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,856,storage devices such as aboveground storage tanks (ASTs) and underground storage tanks (USTs) be,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,880,"and storage tanks. Information provided on Property Underwriters’ Plans (PUPs) includes the location,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,881,"capacity, and contents of aboveground storage tanks (ASTs), USTs, chemical storage and other forms of",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,934,Identified APECs on the Phase One Property.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1071,APECs.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1180,PCA and/or APEC,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1205,in an APEC at the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1250,PCA and/or APEC,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1286,in APECs at the Phase One Property.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1332,result in an APEC at the Phase One Property given the distance from the PCA to the Phase One,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1379,The one off-Site PCA is not considered to result in an APEC at the Phase One Property,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1384,No APECs as defined by O. Reg. 153/04 were identified by Pinchin at the Phase One Property.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1387,"APEC at the Phase One Property has been provided in the preceding report sections. In general, the",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1389,"probability for a source to contaminate, and the ability of contaminants to migrate on, or to the Phase One",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1401,"proximity and/or upgradient of the Phase One Property, would exhibit a high potential for contamination",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1402,(and is therefore considered a PCA resulting in an APEC at the Phase One Property) since gasoline is,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1403,"highly mobile in the subsurface. In contrast, shallow soil/fill with metals impacts located on a property",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1404,adjacent to the Phase One Property would be considered to have a low potential for contamination given,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1405,that metals generally have low mobility in the subsurface (and would not be considered a PCA resulting in,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1406,"an APEC at the Phase One Property). Furthermore, non-adjacent properties with PCAs located",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1407,downgradient or transgradient of the Phase One Property generally do not result in APECs at the Phase,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1408,One Property. Groundwater is the media through which contaminants typically migrate from property to,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1409,"property, and if the source of the contaminant is downgradient or transgradient of the Phase One",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1411,downgradient or transgradient PCA would not be considered to result in an APEC at the Phase One,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1413,The evaluation of the presence/absence of APECs at the Phase One Property was based upon the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1420,presence/absence of APECs at the Phase One Property.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1441,APECs at the Phase One Property.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1459,"garage, bulk liquid dispensing facility or dry cleaner) that would require classifying the",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1484,an APEC at the Phase One Property. COPCs associated with the off-Site PCAs are not a,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1485,concern to the Phase One Property because there are no APECs at the Phase One,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1525,result in APECs at Phase One Property. One off-Site PCA was identified but this PCA is not considered,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1526,to result in APECs at the Phase One Property given its distance from the Phase One Property and its,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1705,an APEC at the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1723,APEC – Area of Potential Environmental Concern,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1899,PCA NUMBER CONTRIBUTES TO AN APEC,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,1901,TO AN APEC,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2355,Anderson's Waste Disposal Sites,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2361,Aboveground Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2409,Compressed Natural Gas Stations,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2517,Federal Identification Registry for Storage Tank Systems,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2524,Fuel Storage Tank,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2530,Fuel Storage Tank - Historic,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2536,Ontario Regulation 347 Waste Generators Summary,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2657,National Defence & Canadian Forces Waste Disposal,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2724,Parks Canada Fuel Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2742,Private and Retail Fuel Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2754,Ontario Regulation 347 Waste Receivers Summary,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2766,Retail Fuel Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2784,Wastewater Discharger Registration Database,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2790,Anderson's Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2796,Transport Canada Fuel Storage Tanks,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2809,Waste Disposal Sites - MOE CA Inventory,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,2815,Waste Disposal Sites - MOE 1991 Historical Approval,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,3318,https://d2khazk8e83rdv.cloudfront.net/moe_mapping/downloads/2Water/Wells_pdfs/280\2809199.pdf,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,3414,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,3456,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4325,Metro Waste Paper Recovery,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4371,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4395,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4419,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4458,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4488,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4518,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4542,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4572,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4596,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4620,Contaminants:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4630,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4671,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4706,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4741,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4775,MOE District:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4810,Metro Waste Paper Recovery Inc.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4827,Contaminant Code:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4830,Contaminant Name:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4833,Contaminant Limit 1:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4837,Contaminant UN No 1:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4848,MOE Response:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4851,Dt MOE Arvl on Scn:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4853,MOE Reported Dt:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4867,Contaminant Qty:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4899,Anderson's Waste Disposal Sites:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4903,former waste disposal sites from 1860 to present.  The research initiative behind the creation of this database was to identify those sites that are missing,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4904,"from the Ontario MOE Waste Disposal Site Inventory, as well as to provide revisions and corrections to the positions and descriptions of sites currently",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4905,"listed in the MOE inventory.  In addition to historic waste disposal facilities, the database also identifies certain auto wreckers and scrap yards that have",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4909,Aboveground Storage Tanks:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4912,Historical listing of aboveground storage tanks made available by the Department of Natural Resources and Forestry. Includes tanks used to hold water,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4945,"This database contains the following types of approvals: Air & Noise, Industrial Sewage, Municipal & Private Sewage, Waste Management Systems and",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4946,"Renewable Energy Approvals. The MOE in Ontario states that any facility that releases emissions to the atmosphere, discharges contaminants to",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4947,"ground or surface water, provides potable water supplies, or stores, transports or disposes of waste, must have a Certificate of Approval before it can",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4964,"Note that the following types of tanks do not require registration: waste oil tanks in apartments, office buildings, residences, etc.; aboveground gas or",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4972,"(i.e. fractionation, solvent extraction, crystallization, etc.).",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4979,Compressed Natural Gas Stations:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4990,"This inventory includes both the ""Inventory of Coal Gasification Plant Waste Sites in Ontario-April 1987"" and the Inventory of Industrial Sites Producing",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,4991,or Using Coal Tar and Related Tars in Ontario-November 1988) collected by the MOE. It identifies industrial sites that produced and continue to produce,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5032,List of fuel storage tank sites that were once found in - and have since been removed from - the list of fuel storage tanks made available by the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5050,"EPA s. 27 - Approval for a waste disposal site.  For information regarding Permit to Take Water (PTTW), Certificate of Property Use (CPU) and (ORD)",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5059,"ECA addresses all of a business's emissions, discharges and wastes. Separate approvals for air, noise and waste are no longer required. This database",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5060,"will also include Renewable Energy Approvals. For certificates of approval prior to Nov 1st, 2011, please refer to the CA database.  For all Waste",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5120,"Notes: registration was not required for private fuel underground/aboveground storage tanks prior to January  1990, nor for furnace oil tanks prior to May",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5121,"1, 2002;  registration is not required for waste oil tanks in apartments, office buildings, residences, etc., or aboveground gas or diesel tanks. Records are",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5134,and consolidated Crown corporations as well as those that are being or have been investigated to determine whether they have contamination arising,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5136,"Government of Canada has accepted some or all financial responsibility. It does not include sites where contamination has been caused by, and which",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5143,Fisheries & Oceans Canada maintains an inventory of aboveground & underground fuel storage tanks located on Fisheries & Oceans property or,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5144,"controlled by DFO.  Our inventory provides information on the site name, location, tank owner, tank operator, facility type, storage tank location, tank",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5147,Federal Identification Registry for Storage Tank Systems (FIRSTS):,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5150,A list of federally regulated Storage tanks from the Federal Identification Registry for Storage Tank Systems (FIRSTS). FIRSTS is Environment and,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5151,Climate Change Canada's database of storage tank systems subject to the Storage Tank for Petroleum Products and Allied Petroleum Products,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5152,Regulations. The main objective of the Regulations is to prevent soil and groundwater contamination from storage tank systems located on federal and,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5153,aboriginal lands. Storage tank systems that do not have a valid identification number displayed in a readily visible location on or near the storage tank,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5156,Fuel Storage Tank:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5159,List of registered private and retail fuel storage tanks. This is not a comprehensive or complete inventory of private and retail fuel storage tanks in the,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5160,"province; this listing is a copy of registered private and retail fuel storage tanks, obtained under Access to Public Information.",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5161,"Notes: registration was not required for private fuel underground/aboveground storage tanks prior to January  1990, nor for furnace oil tanks prior to May",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5162,"1, 2002;  registration is not required for waste oil tanks in apartments, office buildings, residences, etc., or aboveground gas or diesel tanks. Records are",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5176,Fuel Storage Tank - Historic:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5180,tanks. Public records of private fuel storage tanks are only available since the registration became effective in September 1989. This information is now,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5183,Ontario Regulation 347 Waste Generators Summary:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5186,"Regulation 347 of the Ontario EPA defines a waste generation site as any site, equipment and/or operation involved in the production, collection,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5187,"handling and/or storage of regulated wastes.  A generator of regulated waste is required to register the waste generation site and each waste produced,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5189,"the types of hazardous wastes generated. It includes data on waste generating facilities such as: drycleaners, waste treatment and disposal facilities,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5215,The Department of Indian & Northern Affairs Canada (INAC) maintains an inventory of aboveground & underground fuel storage tanks located on both,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5232,"larger landfills provide landfill information for the previous operating year to the ministry for LIMO including: estimated amount of total waste received,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5234,"approved waste types, leachate of site treatment, contaminant attenuation zone and more. The small landfills include information such as site owner,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5241,"listings on mines (listed as public companies) dealing primarily with precious metals and hard rocks.  Listed are mines that are currently in operation,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5277,The Ministry of the Environment provides information about non-compliant discharges of contaminants to air and water that exceed legal allowable,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5284,The Department of National Defense and the Canadian Forces maintains an inventory of all aboveground & underground fuel storage tanks located on,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5296,National Defence & Canadian Forces Waste Disposal Sites:,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5299,"The Department of National Defence and the Canadian Forces maintains an inventory of waste disposal sites located on DND lands.  Where available,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5300,"our inventory provides information on the base name, location, type of waste received, area of site, depth of site, year site opened/closed and status.",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5344,private facilities.  Federal out-of-service PCB containing equipment and PCB waste owned by the federal government or by federally regulated industries,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5346,"Although it is not Environment Canada's mandate to collect data on non-federal PCB waste, the National PCB inventory includes some information on",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5347,provincial and private PCB waste and storage sites. Some addresses provided may be Head Office addresses and are not necessarily the location of,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5348,where the waste is being used or stored.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5354,"comprehensive national data regarding releases to air, water, or land, and waste transfers for recycling for more than 300 listed substances.",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5374,"The Ontario Ministry of Environment, Waste Management Branch, maintains an inventory of PCB storage sites within the province.  Ontario Regulation",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,5375,11/82 (Waste Management - PCB) and Regulation 347 (Generator Waste Management) under the Ontario EPA requires the registration of inactive PCB,,
